location,timestamp
Mid Right Spot,2014-01-29T02:46:15.000Z
Mid Right Spot,2014-01-29T02:46:22.000Z
Another Spot,2014-01-29T02:46:32.000Z
Another Spot,2014-01-29T02:46:38.000Z
Back Right,2014-01-29T02:46:42.000Z
Another Spot,2014-01-29T02:46:42.000Z
Near the Front,2014-01-29T02:46:47.000Z
Another Spot,2014-01-29T02:46:52.000Z
Back Right,2014-01-29T02:46:57.000Z
Back Left,2014-01-29T02:47:02.000Z
Back Left,2014-01-29T02:47:05.000Z
Back Left,2014-01-29T02:47:08.000Z
Another Spot,2014-01-29T02:47:18.000Z
Party in the Back,2014-01-29T02:47:19.000Z
Front Door,2014-01-29T02:47:21.000Z
Party in the Back,2014-01-29T02:47:22.000Z
Mid Right Spot,2014-01-29T02:47:23.000Z
Mid Right Spot,2014-01-29T02:47:29.000Z
Mid Right Spot,2014-01-29T02:47:32.000Z
Near the Front,2014-01-29T02:47:44.000Z
Near the Party,2014-01-29T02:47:59.000Z
Near the Party,2014-01-29T02:48:04.000Z
Near the Front,2014-01-29T02:48:08.000Z
Near the Front,2014-01-29T02:48:13.000Z
Near the Front,2014-01-29T02:48:21.000Z
Near the Front,2014-01-29T02:48:49.000Z
Back Left,2014-01-29T02:48:51.000Z
Near the Party,2014-01-29T02:48:53.000Z
Another Spot,2014-01-29T02:48:54.000Z
Mid Right Spot,2014-01-29T02:48:55.000Z
Near the Front,2014-01-29T02:48:59.000Z
Near the Front,2014-01-29T02:49:04.000Z
Near the Front,2014-01-29T02:49:10.000Z
Front Left,2014-01-29T02:49:17.000Z
Back Right,2014-01-29T02:49:26.000Z
Mid Right Spot,2014-01-29T02:49:26.000Z
Left Side,2014-01-29T02:49:27.000Z
Mid Right Spot,2014-01-29T02:49:28.000Z
Front Left,2014-01-29T02:49:33.000Z
Another Spot,2014-01-29T02:49:34.000Z
Near the Front,2014-01-29T02:49:39.000Z
Near the Front,2014-01-29T02:49:47.000Z
Mid Right Spot,2014-01-29T02:49:50.000Z
Back Right,2014-01-29T02:49:55.000Z
Near the Party,2014-01-29T02:49:58.000Z
